,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nanortalik,60.1432,-45.2371,48.87,79,82,6.98,GL,1663243200
1,Leningradskiy,69.3833,178.4167,35.56,99,100,2.73,RU,1663243200
2,Saldanha,-33.0117,17.9442,77.05,60,70,8.37,ZA,1663243200
3,Broken Hill,-31.95,141.4333,57.72,35,25,11.65,AU,1663243200
4,Labuhan,-6.8844,112.2051,83.39,67,52,5.95,ID,1663243200
5,Sola,-13.8833,167.55,80.56,76,26,15.3,VU,1663243200
6,Isangel,-19.55,169.2667,72.45,85,35,11.5,VU,1663243200
7,Mataura,-46.1927,168.8643,46.47,98,100,7.45,NZ,1663243200
8,Half Moon Bay,37.4636,-122.4286,58.84,92,100,2.98,US,1663243200
9,Ribeira Grande,38.5167,-28.7,77.4,88,40,20.56,PT,1663243200
10,Gao,16.6362,1.637,102.9,18,4,7.47,ML,1663243200
11,Vaini,-21.2,-175.2,75.99,100,75,10.58,TO,1663243200
12,Yellowknife,62.456,-114.3525,48.72,81,20,8.5,CA,1663243200
13,Zhurivka,50.5028,31.7849,55.56,95,100,7.81,UA,1663243200
14,Hobart,-42.8794,147.3294,50.74,89,75,2.75,AU,1663243200
15,Paamiut,61.994,-49.6678,44.37,79,100,3.87,GL,1663243200
16,Saskylakh,71.9167,114.0833,31.57,93,100,4.27,RU,1663243200
17,Bathsheba,13.2167,-59.5167,83.43,83,20,8.86,BB,1663243200
18,Eyl,7.9803,49.8164,90.55,49,97,25.32,SO,1663243200
19,Iracoubo,5.4802,-53.2011,82.53,74,14,10.11,GF,1663243200
20,Lac du Bonnet,50.2536,-96.0612,50.13,94,100,7.05,CA,1663243200
21,Rikitea,-23.1203,-134.9692,69.35,69,16,8.68,PF,1663243200
22,Thompson,55.7435,-97.8558,42.96,100,20,4.79,CA,1663243200
23,Qaanaaq,77.484,-69.3632,27.36,63,22,6.98,GL,1663243200
24,Esperance,-33.8667,121.9,58.84,82,92,24.9,AU,1663243200
25,Chui,-33.6971,-53.4616,58.06,85,15,6.26,UY,1663243200
26,Ushuaia,-54.8,-68.3,42.46,45,0,10.07,AR,1663243200
27,Mar del Plata,-38.0023,-57.5575,51.62,88,40,13.89,AR,1663243200
28,Salalah,17.0151,54.0924,81.14,81,87,9.01,OM,1663243200
29,Xuchang,34.0167,113.8167,75.63,59,62,6.96,CN,1663243200
30,Rundu,-17.9333,19.7667,92.16,9,0,12.48,NA,1663243200
31,Aklavik,68.2191,-135.0107,40.15,96,100,5.44,CA,1663243200
32,Kruisfontein,-34.0033,24.7314,73.99,38,15,11.3,ZA,1663243200
33,Port Alfred,-33.5906,26.891,73.18,61,31,14.9,ZA,1663243200
34,Kysyl-Syr,63.8986,122.7617,33.75,82,55,4.03,RU,1663243200
35,Nagato,34.3833,131.2,76.82,91,1,7.09,JP,1663243200
36,Cleveland,41.4995,-81.6954,60.66,90,0,7.31,US,1663243200
37,Richards Bay,-28.783,32.0377,87.85,36,0,11.79,ZA,1663243200
38,Kidal,18.4411,1.4078,104.61,9,45,7.18,ML,1663243200
39,Albany,42.6001,-73.9662,51.66,81,3,8.37,US,1663243200
40,Bluff,-46.6,168.3333,46.8,67,95,21.7,NZ,1663243200
41,New Norfolk,-42.7826,147.0587,49.23,68,100,1.3,AU,1663243200
42,Fort Saint James,54.4333,-124.25,45.55,66,17,1.41,CA,1663243200
43,Avarua,-21.2078,-159.775,73.45,68,75,19.44,CK,1663243200
44,San Patricio,28.017,-97.5169,76.08,82,25,5.64,US,1663243200
45,Butaritari,3.0707,172.7902,80.71,80,40,11.68,KI,1663243200
46,Atuona,-9.8,-139.0333,76.3,74,8,16.73,PF,1663243200
47,Kirakira,-10.4544,161.9205,80.71,78,64,7.14,SB,1663243200
48,Tuktoyaktuk,69.4541,-133.0374,37.18,72,94,18.39,CA,1663243200
49,Hermanus,-34.4187,19.2345,71.8,73,72,8.93,ZA,1663243200
50,Clyde River,70.4692,-68.5914,38.5,100,100,1.88,CA,1663243200
51,Yerbogachën,61.2767,108.0108,43.88,81,94,1.57,RU,1663243200
52,Puerto Ayora,-0.7393,-90.3518,66.06,96,97,8.88,EC,1663243200
53,Imbituba,-28.24,-48.6703,61.86,83,100,8.01,BR,1663243200
54,Andenes,69.3143,16.1194,53.58,71,0,14.45,NO,1663243200
55,Saint Paul Harbor,57.79,-152.4072,48.78,82,100,2.57,US,1663243200
56,Morehead,37.2711,-87.1764,58.55,97,100,5.1,US,1663243200
57,Ouadda,8.0777,22.4007,80.13,79,78,3.96,CF,1663243200
58,Busselton,-33.65,115.3333,57.29,76,71,8.5,AU,1663243200
59,Tasiilaq,65.6145,-37.6368,39.58,72,100,3.24,GL,1663243200
60,Gerede,40.8008,32.1969,75.4,25,4,8.34,TR,1663243200
61,Ixtapa,20.7,-105.2,80.22,85,96,2.06,MX,1663243200
62,San Joaquin,37.9333,-121.3011,60.91,81,0,2.19,US,1663243200
63,Maraã,-1.8333,-65.3667,80.67,71,53,2.68,BR,1663243200
64,Cabo San Lucas,22.8909,-109.9124,81.7,75,0,8.19,MX,1663243200
65,Mingguang,32.7802,117.9638,71.56,90,100,7.23,CN,1663243200
66,Tiksi,71.6872,128.8694,34.21,68,69,9.4,RU,1663243200
67,Neuquén,-38.9516,-68.0591,61.47,61,0,2.66,AR,1663243200
68,Guaranésia,-21.2992,-46.8025,73.24,52,94,4.23,BR,1663243200
69,Chokurdakh,70.6333,147.9167,37.4,69,100,3.78,RU,1663243200
70,Cape Town,-33.9258,18.4232,72.63,40,0,8.05,ZA,1663243200
71,Castro,-24.7911,-50.0119,53.74,97,100,6.49,BR,1663243200
72,Lompoc,34.6391,-120.4579,58.08,95,75,7.31,US,1663243200
73,Khatanga,71.9667,102.5,34.18,81,98,7.25,RU,1663243200
74,Bredasdorp,-34.5322,20.0403,75.65,42,98,7.74,ZA,1663243200
75,Morón,-34.6534,-58.6198,57.49,79,0,7.81,AR,1663243200
76,Dikson,73.5069,80.5464,37.62,86,45,14.5,RU,1663243200
77,Adré,13.4667,22.2,87.98,46,54,7.02,TD,1663243200
78,Kapaa,22.0752,-159.319,77.7,78,13,7.87,US,1663243200
79,Chicama,-7.8447,-79.1469,61.47,87,97,4.56,PE,1663243200
80,Lieksa,63.3167,30.0167,52.92,89,100,12.12,FI,1663243200
81,Karratha,-20.7377,116.8463,74.39,46,0,12.8,AU,1663243200
82,Uinskoye,56.8817,56.5813,63.37,40,100,14.16,RU,1663243200
83,Hilo,19.7297,-155.09,76.15,94,64,4.03,US,1663243200
84,Gumdag,39.2061,54.5906,89.38,18,23,14.76,TM,1663243200
85,La Ronge,55.1001,-105.2842,45.61,93,0,4.03,CA,1663243200
86,Belyy Yar,53.6039,91.3903,50.86,87,40,8.16,RU,1663243200
87,Punta Arenas,-53.15,-70.9167,38.64,81,75,15.5,CL,1663243200
88,Mount Gambier,-37.8333,140.7667,49.42,85,100,7.76,AU,1663243200
89,Fortuna,40.5982,-124.1573,55.71,91,37,3.09,US,1663243200
90,Bengkulu,-3.8004,102.2655,77.36,86,55,3.42,ID,1663243200
91,Chara,56.9064,118.2631,44.58,83,100,6.46,RU,1663243200
92,Anykščiai,55.5256,25.1026,64.24,54,94,15.7,LT,1663243200
93,Kahului,20.8947,-156.47,78.82,65,40,6.33,US,1663243200
94,Nueva Loja,0.0847,-76.8828,69.28,98,84,1.68,EC,1663243200
95,Provideniya,64.3833,-173.3,45.25,93,100,13.27,RU,1663243200
96,Norman Wells,65.282,-126.8329,43.59,93,75,2.66,CA,1663243200
97,Iquique,-20.2208,-70.1431,60.48,62,1,2.93,CL,1663243200
98,Port Elizabeth,-33.918,25.5701,71.1,66,20,11.52,ZA,1663243200
99,Itarema,-2.9248,-39.9167,84.02,62,16,17.72,BR,1663243200
100,Pundaguitan,6.3711,126.1689,84.38,72,97,17.54,PH,1663243200
101,Tuatapere,-46.1333,167.6833,43.57,90,95,9.89,NZ,1663243200
102,Juan de Ayolas,-27.4,-56.9,60.53,70,0,7.14,PY,1663243200
103,Saint-Philippe,-21.3585,55.7679,76.59,78,5,15.32,RE,1663243200
104,Verāval,20.9,70.3667,79.0,90,100,13.24,IN,1663243200
105,Kulhudhuffushi,6.6221,73.07,81.54,71,72,5.08,MV,1663243200
106,Muisne,0.6,-80.0333,72.45,85,100,8.19,EC,1663243200
107,Kutum,14.2,24.6667,87.82,36,24,15.28,SD,1663243200
108,Cayenne,4.9333,-52.3333,83.59,78,0,11.03,GF,1663243200
109,Upernavik,72.7868,-56.1549,39.69,95,100,8.97,GL,1663243200
110,Mahajanga,-15.7167,46.3167,95.02,23,20,2.13,MG,1663243200
111,Waipawa,-41.4122,175.5153,37.85,85,2,4.03,NZ,1663243200
112,Zyryanka,65.75,150.85,39.42,61,100,6.29,RU,1663243200
113,Jamestown,42.097,-79.2353,51.89,75,40,4.61,US,1663243200
114,Hithadhoo,-0.6,73.0833,82.31,66,10,4.14,MV,1663243200
115,Husavik,66.0449,-17.3389,45.7,55,0,1.72,IS,1663243200
116,Hofn,64.2539,-15.2082,48.22,66,20,4.12,IS,1663243200
117,Kokkola,63.8385,23.1307,54.48,92,75,12.55,FI,1663243200
118,Adrar,20.5022,-10.0711,98.62,16,7,14.52,MR,1663243200
119,East London,-33.0153,27.9116,77.94,38,0,16.53,ZA,1663243200
120,Chapais,49.7834,-74.8492,40.78,75,66,10.0,CA,1663243200
121,Kuandian,40.7286,124.7847,61.09,99,100,2.08,CN,1663243200
122,Nikolskoye,59.7035,30.7861,57.52,76,100,9.51,RU,1663243200
123,Bull Savanna,17.8868,-77.5902,76.78,81,38,7.94,JM,1663243200
124,Amapá,1.0,-52.0,82.72,63,24,4.0,BR,1663243200
125,Batamshinskiy,50.5594,58.2747,68.32,23,100,20.4,KZ,1663243200
126,Kupang,-10.1667,123.5833,77.9,80,11,9.71,ID,1663243200
127,Kholodnyy,62.7167,147.95,37.54,73,100,3.09,RU,1663243200
128,Olafsvik,64.8945,-23.7142,47.25,64,48,1.86,IS,1663243200
129,Pierre,44.3683,-100.351,68.13,72,100,6.55,US,1663243200
130,Mnogovershinnyy,53.9353,139.9242,36.93,85,2,5.12,RU,1663243200
131,Coyhaique,-45.5752,-72.0662,37.8,100,75,3.69,CL,1663243200
132,Bethel,41.3712,-73.414,57.56,73,3,10.92,US,1663243200
133,Madaoua,14.073,5.96,95.56,39,57,5.14,NE,1663243200
134,Tsabong,-26.0217,22.401,87.69,15,58,13.35,BW,1663243200
135,Flinders,-34.5833,150.8552,58.8,84,100,4.21,AU,1663243200
136,Hashtgerd,35.9642,50.6858,87.64,14,0,12.19,IR,1663243200
137,Hong Kong,22.2855,114.1577,88.05,57,9,9.6,HK,1663243200
138,Estelí,13.0919,-86.3538,63.97,95,98,4.7,NI,1663243200
139,Mount Isa,-20.7333,139.5,84.92,29,75,8.55,AU,1663243200
140,Chinsali,-10.5414,32.0816,84.4,23,68,6.98,ZM,1663243200
141,Nong Khae,14.3406,100.8673,79.84,84,100,6.13,TH,1663243200
